Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,21/01/2020,19:30,Aston Villa,Watford,,,,,,,2.8,3.5,2.45,2.9,3.5,2.45,2.8,3.4,2.5,2.87,3.47,2.54,2.8,3.4,2.5,2.9,3.4,2.5,3,3.65,2.58,2.86,3.46,2.49,1.9,1.9,1.93,1.99,1.95,2.01,1.89,1.93,0,2.09,1.84,2.08,1.85,2.14,1.86,2.08,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,21/01/2020,19:30,Bournemouth,Brighton,,,,,,,2.87,3.4,2.45,2.9,3.4,2.5,2.9,3.3,2.45,3,3.39,2.49,2.9,3.3,2.5,3,3.3,2.5,3.1,3.45,2.6,2.94,3.35,2.47,2,1.8,2.03,1.88,2.06,1.91,1.98,1.85,0,2.07,1.72,2.16,1.79,2.17,1.83,2.1,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,21/01/2020,19:30,Crystal Palace,Southampton,,,,,,,2.7,3.25,2.7,2.75,3.3,2.7,2.7,3.15,2.7,2.73,3.29,2.77,2.7,3.2,2.7,2.75,3.13,2.8,2.85,3.35,2.84,2.73,3.26,2.72,2.2,1.66,2.28,1.7,2.31,1.72,2.21,1.68,0,1.96,1.97,1.95,1.98,1.99,1.99,1.93,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,21/01/2020,19:30,Everton,Newcastle,,,,,,,1.55,4.1,6,1.6,4,6,1.6,4,5.6,1.61,3.96,6.31,1.57,3.8,6.5,1.6,3.9,6.25,1.64,4.3,6.75,1.6,3.99,6.06,1.9,1.9,2.02,1.89,2.04,1.95,1.95,1.87,-1,2.11,1.82,2.12,1.81,2.14,1.86,2.07,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,21/01/2020,19:30,Sheffield United,Man City,,,,,,,7,5,1.4,7.25,4.75,1.44,6.8,4.6,1.45,7.44,4.87,1.45,7.5,4.75,1.42,8,4.8,1.4,8.5,5.13,1.47,7.41,4.82,1.43,1.61,2.3,1.62,2.44,1.64,2.44,1.6,2.36,1.25,1.92,2.01,1.95,1.98,1.95,2.02,1.92,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,21/01/2020,20:15,Chelsea,Arsenal,,,,,,,1.72,3.9,4.5,1.75,3.9,4.75,1.75,3.9,4.4,1.74,4.01,4.82,1.73,3.9,4.6,1.73,3.9,4.8,1.79,4.1,5.2,1.74,3.95,4.71,1.72,2.1,1.72,2.24,1.73,2.29,1.68,2.2,-0.75,1.97,1.96,1.96,1.97,1.98,1.97,1.94,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,22/01/2020,19:30,Leicester,West Ham,,,,,,,1.53,4.33,6,1.53,4.5,5.75,1.53,4.4,5.8,1.53,4.62,6.19,1.52,4.4,6,1.53,4.4,6.25,1.62,4.75,6.25,1.53,4.49,5.97,1.57,2.37,1.63,2.41,1.68,2.47,1.62,2.32,-1,1.9,2.03,1.88,2.05,1.99,2.05,1.87,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,22/01/2020,19:30,Tottenham,Norwich,,,,,,,1.4,5,7.5,1.42,4.75,7.25,1.43,4.8,6.8,1.43,5.02,7.59,1.4,4.8,8,1.4,4.8,8,1.45,5.15,8.25,1.42,4.89,7.5,1.53,2.5,1.56,2.6,1.57,2.6,1.54,2.49,-1.25,1.96,1.97,1.98,1.94,1.98,2,1.91,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,22/01/2020,20:15,Man United,Burnley,,,,,,,1.36,4.75,9,1.4,4.75,7.75,1.42,4.55,7.6,1.42,4.72,8.62,1.4,4.5,8.5,1.4,4.5,9,1.45,4.9,9.5,1.41,4.65,8.43,1.8,2,1.87,2.05,1.87,2.12,1.81,2.02,-1.25,2.01,1.92,2.01,1.92,2.03,1.98,1.95,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,23/01/2020,20:00,Wolves,Liverpool,,,,,,,5.75,3.8,1.61,5.5,4,1.62,5.4,3.95,1.65,5.95,3.93,1.65,5.8,3.9,1.62,5.5,4,1.62,6,4.05,1.69,5.63,3.92,1.64,1.8,2,1.81,2.11,1.86,2.11,1.8,2.02,0.75,2.1,1.83,2.1,1.83,2.11,1.87,2.07,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/01/2020,19:45,Barnsley,Preston,,,,,,,2.6,3.4,2.7,2.7,3.4,2.6,2.55,3.4,2.65,2.62,3.51,2.73,2.6,3.5,2.62,2.55,3.5,2.7,2.7,3.6,2.8,2.59,3.43,2.66,1.8,2,1.83,2.07,1.85,2.07,1.8,2.01,0,1.91,1.99,1.92,2,1.94,2.02,1.88,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,21/01/2020,19:45,Middlesbrough,Birmingham,,,,,,,2.2,3.3,3.4,2.2,3.4,3.3,2.2,3.25,3.3,2.26,3.29,3.48,2.2,3.3,3.4,2.25,3.3,3.4,2.3,3.4,3.5,2.22,3.27,3.36,2,1.8,2.09,1.81,2.16,1.82,2.06,1.76,-0.25,1.93,1.97,1.94,1.98,1.95,1.98,1.91,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,22/01/2020,19:45,Charlton,Fulham,,,,,,,4.33,3.7,1.83,4.5,3.7,1.8,4.25,3.7,1.8,4.47,3.89,1.81,4.4,3.75,1.8,4.4,3.8,1.8,4.55,3.9,1.88,4.33,3.72,1.8,1.8,2,1.85,2.06,1.88,2.06,1.81,1.99,0.75,1.85,2.05,1.86,2.06,1.86,2.15,1.81,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,22/01/2020,19:45,Nott'm Forest,Reading,,,,,,,2.05,3.4,3.75,2.05,3.4,3.75,2.05,3.3,3.55,2.08,3.49,3.79,2.05,3.4,3.7,2.1,3.4,3.6,2.18,3.5,3.85,2.07,3.37,3.63,2,1.8,2.1,1.8,2.13,1.83,2.04,1.77,-0.25,1.75,2.05,1.79,2.14,1.84,2.14,1.79,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,21/01/2020,19:45,Peterboro,Wycombe,,,,,,,2.2,3.6,3.4,2.1,3.25,3.5,2.1,3.25,3.05,2.22,3.42,3.37,2.15,3.4,3.3,2.25,3.4,3.3,2.25,3.6,3.5,2.17,3.36,3.27,1.8,2,1.81,2.06,1.87,2.07,1.8,1.99,-0.25,1.9,1.95,1.92,1.97,1.95,2.01,1.88,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
