Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
B1,20/12/2019,19:30,Mechelen,Oostende,,,,,,,1.7,3.8,4.75,1.75,4.1,4.33,1.67,3.9,4.35,1.73,4.16,4.5,1.67,4,4.5,1.7,4,4.5,1.75,4.2,4.77,1.7,3.99,4.43,1.65,2.2,1.7,2.23,1.71,2.29,1.65,2.21,-0.75,1.93,1.93,1.94,1.96,1.97,1.97,1.91,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/12/2019,17:00,Mouscron,Charleroi,,,,,,,3.4,3.4,2.1,3.25,3.7,2.1,3.2,3.4,2.1,3.18,3.61,2.23,3.2,3.4,2.15,3.3,3.4,2.15,3.42,3.7,2.26,3.19,3.46,2.15,1.8,2,1.85,2.01,1.98,2.05,1.84,1.95,0.25,1.95,1.9,1.94,1.94,2.03,1.94,1.94,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/12/2019,19:00,Cercle Brugge,Waregem,,,,,,,3,3.5,2.25,2.9,3.7,2.3,2.8,3.55,2.25,2.87,3.91,2.29,2.8,3.7,2.25,2.8,3.7,2.3,3.01,3.91,2.39,2.84,3.67,2.26,1.57,2.35,1.6,2.41,1.62,2.45,1.57,2.35,0.25,1.83,2.02,1.86,2.02,1.88,2.06,1.83,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/12/2019,19:00,Eupen,Kortrijk,,,,,,,2.25,3.25,3.25,2.35,3.3,3.1,2.3,3.3,2.85,2.33,3.57,3.02,2.3,3.4,2.9,2.3,3.4,3,2.37,3.57,3.25,2.3,3.4,2.97,1.8,2,1.82,2.05,1.87,2.05,1.81,1.98,-0.25,2,1.85,2.02,1.85,2.07,1.89,1.99,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,21/12/2019,19:30,Waasland-Beveren,Standard,,,,,,,6.5,4.5,1.45,6,4.4,1.53,5.8,4.4,1.47,6.07,4.6,1.52,6,4.4,1.47,6.5,4.5,1.45,6.55,4.75,1.55,5.93,4.46,1.49,1.57,2.35,1.62,2.35,1.62,2.45,1.56,2.36,1.25,1.83,2.02,1.85,2.03,1.87,2.18,1.79,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,22/12/2019,13:30,Gent,Club Brugge,,,,,,,2.8,3.4,2.4,2.85,3.5,2.4,2.75,3.45,2.3,2.95,3.61,2.36,2.8,3.6,2.3,2.75,3.6,2.38,2.95,3.76,2.43,2.81,3.51,2.35,1.65,2.2,1.68,2.23,1.7,2.33,1.63,2.22,0.25,1.8,2.05,1.83,2.05,1.83,2.13,1.78,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,22/12/2019,17:00,St Truiden,Antwerp,,,,,,,4.75,3.6,1.72,4.75,3.75,1.75,4.2,3.75,1.75,4.68,3.86,1.76,4.4,3.9,1.7,4.5,3.9,1.73,4.79,4.1,1.79,4.41,3.77,1.74,1.65,2.2,1.65,2.29,1.68,2.33,1.63,2.22,0.75,1.9,1.95,1.92,1.96,1.96,2.02,1.87,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,22/12/2019,19:00,Anderlecht,Genk,,,,,,,2.5,3.4,2.7,2.55,3.3,2.8,2.45,3.35,2.65,2.59,3.56,2.69,2.5,3.5,2.6,2.5,3.5,2.7,2.59,3.69,2.82,2.49,3.43,2.66,1.75,2.05,1.79,2.07,1.81,2.24,1.74,2.06,0,1.88,1.98,1.9,1.98,1.91,2.13,1.85,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,20/12/2019,19:30,Hoffenheim,Dortmund,,,,,,,3.6,4,1.9,3.8,3.9,1.87,4,3.8,1.85,3.81,4.01,1.93,3.8,3.9,1.88,3.7,4,1.91,4.02,4.13,1.96,3.76,3.94,1.9,1.44,2.75,1.49,2.76,1.49,2.88,1.46,2.69,0.5,2.01,1.92,1.99,1.93,2.03,1.93,1.97,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,21/12/2019,14:30,Bayern Munich,Wolfsburg,,,,,,,1.14,8.5,17,1.14,8.5,17,1.2,7.4,12,1.17,7.86,17.81,1.17,7.5,17,1.17,8,17,1.2,8.81,20,1.16,7.96,16.49,1.3,3.5,1.33,3.49,1.34,3.6,1.31,3.39,-2.25,2.02,1.91,1.99,1.91,2.04,1.95,1.97,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
